name,test_or_train,type,rmse_cal,rmse_sur,energy_cal,energy_sur,stiff_cal,stiff_sur,a1,a2,a3,a4,a5,a6
"Arakawa et al. 1988, No. 22",train,Shear,0.003344956844566944,0.0035156100683342312,0.0033005215418560516,0.0025197810167770286,0.8812973000480953,0.8909333891701227,0.4583333333333333,0.4834622950819672,0.0081431402088327,0.118681588778999,0.48,0.7542196317905766
"Arakawa et al. 1988, No. 23",train,Flexure-Shear,0.00242445528976615,0.003248265491790423,0.00290090603956229,0.012920634070249647,0.9482085302709667,0.9205196027698016,0.6111111111111112,0.7192975609756097,0.0121154037253364,0.1765750467199741,0.48,0.8934662803166977
"Arakawa et al. 1988, No. 24",train,Shear,0.003610541106001873,0.003719128547798031,0.002230405133533466,0.001863994111676141,0.9074727777835033,0.9353914894896144,0.6111111111111112,0.3494218009478673,0.0058854449376634,0.0857769776720253,0.48,0.7883885378995759
"Arakawa et al. 1988, No. 26",train,Flexure,0.00229667664318528,0.004549525675382589,0.006708890448006683,0.031630190924355366,0.9417220085666227,0.855526883174013,0.6111111111111112,0.4964848484848485,0.0083624840528416,0.2437567985023213,0.48,0.8784263309578729
"Arakawa et al. 1988, No. 27",train,Shear,0.003964589076420663,0.003722845986567341,0.008671835298908342,0.007943647940462649,0.8725605069354114,0.8885631866005992,0.4583333333333333,0.4772038834951456,0.0080377273905954,0.2342905150653379,0.48,0.798056254749984
"Arakawa et al. 1988, No. 28",train,Shear,0.005804813582942623,0.0033664102056328396,0.013595024171820095,0.008993580363229612,0.6927613316988508,0.9309626144290952,0.6111111111111112,0.7801904761904762,0.0131410463687512,0.3830463976465049,0.48,0.8848315580592906
"Kunnath et al. 1997, A2",train,Flexure,0.0014933671351091222,0.0029064686618373897,0.03296739870940166,0.09591198423091708,0.9991419111820068,0.9021368888984919,0.6111111111111112,0.3570363196125908,0.0060136991856997,0.1752924192619598,0.48,0.8485746846735115
"Kunnath et al. 1997, A7",train,Flexure,0.005621155809264344,0.006303183878361142,0.0039047270021796408,0.005454697343414815,0.7826881983717687,0.7384210475469569,0.2223032069970845,0.2571085313277137,0.0025678118279092,0.0855923718616322,1.263157894736842,0.2490186958980082
"Kunnath et al. 1997, A8",train,Flexure,0.0023649235779745546,0.0025503956516493317,0.014214838162068404,0.0063563312504006705,0.891814638892097,1.0450892988453668,0.2223032069970845,0.2782729531138365,0.0027791865820359,0.0926380853990227,1.263157894736842,0.2501685563180763
"Kunnath et al. 1997, A9",train,Flexure,0.0014075958331639744,0.0017462435616769343,0.01440415419076689,0.05558320125927492,1.0052733292381937,1.0118828846961696,0.2223032069970845,0.2782729531138365,0.0027791865820359,0.0926380853990227,1.263157894736842,0.2501685563180763
"Kunnath et al. 1997, A10",train,Flexure,0.0015378874359871322,0.00241054210689445,0.01022914131172011,0.013948627279566705,1.014878540631194,0.8171854054072513,0.2223032069970845,0.2808416265271949,0.0028048406120239,0.0934932061873213,1.263157894736842,0.2502938239202187
"Kunnath et al. 1997, A11",train,Flexure,0.003760209148892941,0.003491404557404803,0.008486435682804706,0.006305147362922301,1.0950016663006428,1.07202410676946,0.2223032069970845,0.3380501060049569,0.0033761970329918,0.1013856923953268,1.263157894736842,0.2461657413952742
"Kunnath et al. 1997, A12",test,Flexure,0.002084236779524213,0.002100045439159358,0.0167837738876125,0.004592837717499277,0.9090409582420648,0.9737482828203157,0.2223032069970845,0.3380501060049569,0.0033761970329918,0.1013856923953268,1.263157894736842,0.2461657413952742
"Benzoni and Priestley 1994, NR1",train,Flexure-Shear,0.0024517903704727984,0.0027899919882991794,0.010509613555803451,0.011970303002883034,0.9827676156155516,0.9756828325254816,0.2223032069970845,0.3380501060049569,0.0033761970329918,0.1013856923953268,1.263157894736842,0.2461657413952742
"Benzoni and Priestley 1994, NR2",train,Flexure-Shear,0.002689195198938431,0.0025145941450206055,0.0037329011232103584,0.0022297284518299717,0.9447563440774702,0.932568095148548,0.6670311645708037,0.0801031765654393,0.0014743130864549,0.0573716286842055,0.5039370078740159,0.3232615848738929
"Hose et al., 1997, SRPH1",train,Flexure,0.002214898068666299,0.002770602559468034,0.005842303378000191,0.04466432504053521,0.9123899181131246,0.9364248744690197,0.6670311645708037,0.1602063531308787,0.0014743130864549,0.0573716286842055,0.3023622047244095,0.50528928547542
"Vu et al. 1998, NH1",train,Flexure,0.001695410058545842,0.002031752577388137,0.015902050012001418,0.022515474391421878,0.9503121900979473,0.9418607826498651,0.1666666666666666,0.2932552861349178,0.0029577351776138,0.1481933204537532,1.0,0.3102844219111448
"Vu et al. 1998, NH2",train,Flexure-Shear,0.0010736484091105072,0.0012776944810482156,0.007687871681161041,0.007044499344247638,1.0439611499289874,0.9400516560297822,0.5021978021978022,0.2702272796515058,0.0061076872900125,0.3068922873330327,0.95,0.5551391647093903
"Vu et al. 1998, NH3",train,Flexure,0.0011409135418119327,0.002122699840754809,0.015301184798565364,0.06349814088123219,1.0431476845577423,1.0690201016728038,0.5021978021978022,0.2640230819044049,0.005967459775701,0.0986009068755579,0.95,0.4268608907582933
"Vu et al. 1998, NH6",train,Flexure,0.0013117570673457015,0.002169704144282646,0.009154413641989989,0.028283573728625114,0.8500981218255886,0.9973146267601213,0.5021978021978022,0.3490480589717059,0.006923637953911,0.0848654923315939,0.7125,0.5251420937266751
