UniqueId,Name,Type,FailureType,ar,lrr,srr,alr,sdr,smr,id
344,"Arakawa et al. 1988, No. 27",Spiral,2,1.6363636363636362,0.7801904761904763,0.05527027075406459,0.3830463976465049,2.0833333333333335,1.5197989599411115,90
345,"Arakawa et al. 1988, No. 28",Spiral,2,1.6363636363636362,0.3570363196125908,0.025293174751860065,0.17529241926195988,2.0833333333333335,1.448818196759746,91
346,"Kunnath et al. 1997, A2",Spiral,0,4.498360655737705,0.31473630559082194,0.064904999513634,0.09439357567840774,0.7916666666666666,0.35916169719266816,92
95,"Atalay and Penzien 1975, No. 10",Rectangular,0,5.495081967213115,0.18312901964309938,0.044279691261890186,0.26575890590940304,2.2280701754385963,0.41515144064291865,94
96,"Atalay and Penzien 1975, No. 11",Rectangular,0,5.495081967213115,0.19139936246569095,0.07358694849283072,0.277760921014989,1.3333333333333333,0.3153005960815045,95
97,"Atalay and Penzien 1975, No. 12",Rectangular,0,5.495081967213115,0.18658428416466727,0.042928453089959184,0.27077322488882577,2.2280701754385963,0.42595380416268974,96
98,"Umehara and Jirsa 1982, CUS",Rectangular,2,1.1097560975609755,0.37992559566049083,0.03277022696510392,0.16225725979696573,2.4722222222222223,2.4028822956564695,97
352,"Kunnath et al. 1997, A8",Spiral,0,4.498360655737705,0.2782729531138365,0.05738551786266421,0.09263808539902273,0.7916666666666666,0.36081545409529114,98
99,"Umehara and Jirsa 1982, CUW",Rectangular,2,1.9782608695652175,0.37992559566049083,0.018383298053594885,0.16225725979696573,2.4722222222222223,1.5826548577122976,98
353,"Kunnath et al. 1997, A9",Spiral,0,4.498360655737705,0.28084162652719497,0.05791523033524265,0.09349320618732139,0.7916666666666666,0.36102118931216187,99
100,"Umehara and Jirsa 1982, 2CUS",Rectangular,2,1.1097560975609755,0.31570007829883645,0.054460996242006045,0.2696561127101954,2.4722222222222223,1.8176524188727674,99
354,"Kunnath et al. 1997, A10",Spiral,0,4.498360655737705,0.3380501060049569,0.06971277725538466,0.10138569239532684,0.7916666666666666,0.36058148587590955,100
101,"Bett et al. 1985 , No. 1-1",Rectangular,2,1.498360655737705,0.37675426622362124,0.012224536356969832,0.10354320906650223,5.833333333333333,2.2133958786422734,100
102,"Azizinamini et al. 1988, NC-2",Rectangular,0,3.0021881838074402,0.21681377510452232,0.10673901013462435,0.20590256371475127,1.3385826771653546,0.41881954780488206,101
355,"Kunnath et al. 1997, A11",Spiral,0,4.498360655737705,0.3380501060049569,0.06971277725538466,0.10138569239532684,0.7916666666666666,0.36058148587590955,101
356,"Kunnath et al. 1997, A12",Spiral,0,4.498360655737705,0.3380501060049569,0.06971277725538466,0.10138569239532684,0.7916666666666666,0.36058148587590955,102
103,"Azizinamini et al. 1988, NC-4",Rectangular,0,3.0021881838074402,0.21408998395999315,0.08001976603645093,0.3103875077353259,1.7894736842105263,0.5452513813835986,102
104,"Saatcioglu and Ozcebe 1989, U1",Rectangular,0,2.857142857142857,0.31615915583308624,0.0322531355873133,0.0,2.5,1.0323673510773903,103
357,"Benzoni and Priestley 1994, NR1",Spiral,1,1.4991803278688525,0.08010317656543939,0.01665639325181959,0.05737162868420558,1.9843749999999998,0.5565166020669209,103
105,"Saatcioglu and Ozcebe 1989, U3",Rectangular,0,2.857142857142857,0.3961074481127173,0.0808182018164862,0.14074595355383532,1.25,0.7347613405349893,104
106,"Saatcioglu and Ozcebe 1989, U4",Rectangular,0,2.857142857142857,0.4387811167960234,0.13183469171314313,0.15306122448979592,0.8333333333333334,0.56355573833565,105
359,"Hose et al., 1997, SRPH1",Spiral,0,6.0,0.2932552861349178,0.04106964190555042,0.14819332045375327,1.0,0.38358467731221557,105
107,"Saatcioglu and Ozcebe 1989, U6",Rectangular,0,2.857142857142857,0.37557476325948996,0.09667179373719083,0.13131257865076326,1.692708333333333,0.626030019995597,106
360,"Vu et al. 1998, NH1",Spiral,0,1.9912472647702408,0.27022727965150584,0.058072599830688645,0.30689228733303275,1.0526315789473684,0.7143460152890663,106
108,"Saatcioglu and Ozcebe 1989, U7",Rectangular,0,2.857142857142857,0.3592035556302301,0.09245789503582609,0.12558869701726844,1.692708333333333,0.6244439766092185,107
362,"Vu et al. 1998, NH3",Spiral,0,1.9912472647702408,0.2626828632145348,0.05645128359176079,0.15009050917693695,1.0526315789473684,0.666840692454253,108
363,"Vu et al. 1998, NH4",Spiral,1,1.9912472647702408,0.6936803965681287,0.15290453886280642,0.14805688224847185,0.5905511811023623,0.715319910010955,109
364,"Vu et al. 1998, NH5",Spiral,1,1.9912472647702408,0.34904805897170593,0.049373065103651144,0.08486549233159398,1.4035087719298245,0.836812884166106,110
